Division,Sub Division,Feeder,Feeder Code,A/c No,Name,Address,Category,Supply Type,Mobile No,Status,Bill Basis,Total Bill Amount (Rs),Last Paid Date,Last Paid Amount (Rs),Load,Load Unit,Current Assessment (Rs),Bill Date,Current Month Consumption (kWh),Supply Voltage (kV),Connection Type,Meter Status,Meter Exception Reason,Arrear (Rs),Total Outstanding (Rs),LPSC (Rs),Payment Mode
VIKAS NAGAR,SDO-2,PARED,51331220048PAR,4684953051,Consumer,Kanpur,LMV-1,10,9604480323,In Service,MU,1446.63,2026-03-10,499.7,7.8,KW,526.0,2026-03-01,38,0.230kV,PREPAID,N,Port Dirty/Faulty,920.63,946.93,92.06,UPI
KIDWAI NAGAR,SDO-4,CARWALO NAGAR,51331110026CAR,4689708856,Consumer,Kanpur,LMV-1,101,9287169868,In Service,MU,3769.22,2026-03-10,3422.85,1.7,KW,3603.0,2026-03-01,500,0.230kV,POSTPAID,N,,166.22,346.37,16.62,CASH
VIKAS NAGAR,SDO-1,PARED,51331220048PAR,4681143348,Consumer,Kanpur,LMV-2,10,9599889704,Disconnected,ASS,863.78,2026-03-10,366.0,2.1,KW,732.0,2026-03-01,66,0.230kV,POSTPAID,N,Meter not downloadable,131.78,-64.0,13.18,CASH
GENERALGANJ,SDO-8,IDGAH,51331320049IDG,4688505150,Consumer,Kanpur,LMV-1,101,9652781289,In Service,CEIL,24481.68,2026-03-10,3682.0,3.5,KW,3682.0,2026-03-01,503,0.230kV,POSTPAID,N,,20799.68,20799.68,2079.97,UPI
VIKAS NAGAR,SDO-7,PARED,51331220048PAR,4688128532,Consumer,Kanpur,LMV-1,10,9153959580,Disconnected,MU,1082.18,2026-03-10,675.0,28.6,KVA,675.0,2026-03-01,66,0.230kV,POSTPAID,N,,407.18,407.18,40.72,UPI
FAZALGANJ,SDO-3,IFTKHARABAD,51331120020IFT,4682643606,Consumer,Kanpur,LMV-1,100,9829417252,In Service,MU,792.0,2026-03-10,792.0,2.0,KW,792.0,2026-03-01,98,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CARD
GOVIND NAGAR,SDO-6,BHAGAT SINGH,51331110001BHA,4681715911,Consumer,Kanpur,HV-1,10,9920981635,In Service,MU,1926.0,2026-03-10,1829.7,1.9,KW,1926.0,2026-03-01,261,0.230kV,PREPAID,F,,0.0,96.3,0.0,CARD
JAJMAU,SDO-3,PALM COURT,51331320030PAL,4683022345,Consumer,Kanpur,LMV-1,10,9207822029,In Service,CEIL,1045.0,2026-03-10,1045.0,1.9,KW,1045.0,2026-03-01,128,0.400kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
KIDWAI NAGAR,SDO-6,CARWALO NAGAR,51331110026CAR,4686015860,Consumer,Kanpur,LMV-1,10,9953744837,In Service,CEIL,7357.58,2026-03-10,1810.0,1.9,KW,1810.0,2026-03-01,251,0.230kV,POSTPAID,N,,5547.58,5547.58,554.76,IPYG
NAWABGANJ,SDO-7,SUTER GANJ,51331230046SUT,4684143815,Consumer,Kanpur,LMV-1,10,9785599628,In Service,MU,1278.0,2026-03-10,1278.0,1.7,KW,1278.0,2026-03-01,143,0.230kV,POSTPAID,N,,0.0,0.0,0.0,UPI
BARRA,SDO-2,BEEMA CHAURAHA,51333310083BEE,4687860093,Consumer,Kanpur,HV-1,10,9632983507,In Service,MU,1049.0,2026-03-10,1049.0,1.9,KW,1049.0,2026-03-01,136,0.230kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,IPYG
PANKI,SDO-2,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4682975186,Consumer,Kanpur,LMV-2,10,9692213084,In Service,CEIL,1183.0,2026-03-10,0.0,1.7,KW,1183.0,2026-03-01,148,0.230kV,PREPAID,F,Meter not downloadable,0.0,1183.0,0.0,IPYG
GOVIND NAGAR,SDO-5,KESA HOUSE,51331220051KES,4684414431,Consumer,Kanpur,LMV-1,10,9184336177,In Service,MU,1162.0,2026-03-10,929.6,68.5,KW,1162.0,2026-03-01,137,0.400kV,POSTPAID,N,,0.0,232.4,0.0,UPI
BARRA,SDO-3,BEEMA CHAURAHA,51333310083BEE,4687857008,Consumer,Kanpur,LMV-1,101,9408526621,In Service,MU,453.0,2026-03-10,453.0,2.1,KW,453.0,2026-03-01,23,0.230kV,PREPAID,N,Port Dirty/Faulty,0.0,-1167.4,0.0,CARD
GOVIND NAGAR,SDO-1,BHAGAT SINGH,51331110001BHA,4686457484,Consumer,Kanpur,LMV-1,101,9629610352,In Service,MU,943.0,2026-03-10,943.0,33.9,KW,943.0,2026-03-01,95,0.400kV,POSTPAID,N,,0.0,0.0,0.0,CASH
VIKAS NAGAR,SDO-7,200MLD JAL SANSTHAN,51331320050MLD,4682584700,Consumer,Kanpur,LMV-1,10,9295099646,In Service,ASS,840.0,2026-03-10,840.0,1.1,KW,840.0,2026-03-01,78,0.400kV,POSTPAID,N,,0.0,0.0,0.0,CASH
ARMAPUR,SDO-2,BANS MANDI,51331120020BAN,4689276898,Consumer,Kanpur,LMV-1,10,9451708846,In Service,MU,1056.0,2026-03-10,1003.2,2.0,KW,1056.0,2026-03-01,137,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,52.8,0.0,CASH
DADA NAGAR,SDO-5,KHALASI LINE,51331320049KHA,4687451112,Consumer,Kanpur,LMV-1,10,9363355022,Disconnected,CEIL,1137.0,2026-03-10,1137.0,4.2,KW,1137.0,2026-03-01,144,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,IPYG
KAKADEO,SDO-2,GANGOTRI,51331320049GAN,4684753088,Consumer,Kanpur,LMV-2,10,9756707448,In Service,MU,6609.36,2026-03-10,1124.0,1.2,KW,1124.0,2026-03-01,152,0.230kV,POSTPAID,N,,5485.36,-1815.97,548.54,CARD
KAKADEO,SDO-7,GANGOTRI,51331320049GAN,4684250967,Consumer,Kanpur,LMV-1,10,9318967209,In Service,MU,3685.08,2026-03-10,996.5,7.8,KW,1993.0,2026-03-01,273,0.230kV,POSTPAID,N,,1692.08,2688.58,169.21,UPI
KAKADEO,SDO-5,DADA MIYAN,51331210047DAD,4688233067,Consumer,Kanpur,LMV-1,100,9522037559,In Service,CEIL,5000.83,2026-03-10,2309.0,1.0,KW,2309.0,2026-03-01,288,0.400kV,PREPAID,N,Meter not downloadable,2691.83,2691.83,269.18,IPYG
JAJMAU,SDO-7,JK CANCER,51331320030JKC,4687520843,Consumer,Kanpur,LMV-1,10,9828784216,In Service,MU,2110.78,2026-03-10,1914.25,3.3,KW,2015.0,2026-03-01,279,0.230kV,POSTPAID,F,On height,95.78,196.53,9.58,UPI
ARMAPUR,SDO-6,BANS MANDI,51331120020BAN,4683301330,Consumer,Kanpur,LMV-1,10,9898653954,In Service,MU,2552.77,2026-03-10,1029.0,1.9,KVA,1029.0,2026-03-01,136,0.230kV,POSTPAID,N,,1523.77,1523.77,152.38,CASH
KIDWAI NAGAR,SDO-1,CARWALO NAGAR,51331110026CAR,4689280284,Consumer,Kanpur,LMV-1,10,9544152076,In Service,PROV,1029.0,2026-03-10,1029.0,3.2,KW,1029.0,2026-03-01,130,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
ARMAPUR,SDO-8,MANJUSHREE,51331110001MAN,4685813786,Consumer,Kanpur,LMV-1,10,9903015274,In Service,CEIL,1293.0,2026-03-10,1293.0,1.7,KW,1293.0,2026-03-01,148,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
SISAMAU,SDO-4,PANI KI TANKI BECON GANJ,51331210047NEW,4686524941,Consumer,Kanpur,LMV-1,H21,9605983508,In Service,PROV,7691.85,2026-03-10,1060.2,2.1,KW,1116.0,2026-03-01,140,0.230kV,POSTPAID,N,,6575.85,-2395.59,657.58,CASH
KAKADEO,SDO-6,HALLET HOSPITAL,51331320030HAL,4685131242,Consumer,Kanpur,LMV-1,10,9996346649,In Service,CEIL,835.0,2026-03-10,835.0,2.0,KW,835.0,2026-03-01,86,0.230kV,PREPAID,N,,0.0,-1469.55,0.0,UPI
DADA NAGAR,SDO-6,VISHNU PURI,51331310042VIS,4683223271,Consumer,Kanpur,LMV-1,10,9416614352,In Service,MU,707.85,2026-03-10,629.0,1.7,KW,629.0,2026-03-01,72,0.230kV,PREPAID,N,,78.85,78.85,7.88,UPI
VIKAS NAGAR,SDO-6,PARED,51331220048PAR,4682563473,Consumer,Kanpur,LMV-1,10,9271616073,In Service,CEIL,2023.0,2026-03-10,2023.0,0.9,KW,2023.0,2026-03-01,259,0.230kV,PREPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
SHUKLAGANJ,SDO-7,ASHOK NAGAR,51331320050ASH,4682278111,Consumer,Kanpur,LMV-1,10,9384654349,In Service,MU,2154.0,2026-03-10,2154.0,2.4,KW,2154.0,2026-03-01,278,0.230kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
ARMAPUR,SDO-6,MANJUSHREE,51331110001MAN,4687415167,Consumer,Kanpur,LMV-1,10,9235622392,In Service,ASS,1115.0,2026-03-10,1115.0,1.9,KW,1115.0,2026-03-01,145,0.400kV,PREPAID,N,On height,0.0,0.0,0.0,CASH
SHUKLAGANJ,SDO-1,ASHOK NAGAR,51331320050ASH,4682580069,Consumer,Kanpur,LMV-1,101,9499059903,In Service,ASS,1499.93,2026-03-10,1117.0,1.0,KW,1117.0,2026-03-01,132,0.230kV,POSTPAID,F,Port Dirty/Faulty,382.93,-1685.69,38.29,IPYG
ZARIB CHAUKI,SDO-3,ROOPAM,51331230046ROO,4688326334,Consumer,Kanpur,LMV-1,10,9420269090,In Service,MU,564.0,2026-03-10,535.8,3.2,KW,564.0,2026-03-01,66,0.230kV,POSTPAID,N,On height,0.0,28.2,0.0,CARD
KALYANPUR,SDO-5,ACHARYA NAGAR,51331510043ACH,4683945669,Consumer,Kanpur,LMV-1,100,9996052149,In Service,PROV,71.0,2026-03-10,71.0,3.2,KW,71.0,2026-03-01,3,0.400kV,POSTPAID,N,,0.0,-53.06,0.0,CARD
GENERALGANJ,SDO-8,IDGAH,51331320049IDG,4687415648,Consumer,Kanpur,LMV-1,101,9273764770,In Service,MU,401840.0,2026-03-10,401840.0,2.3,KW,401840.0,2026-03-01,47260,11kV,POSTPAID,F,,0.0,0.0,0.0,CARD
